,Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
5395,30724,North Africa,2017-01-19,2017,Jan,2,0,2,1,1,1,1,Accident,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",Unknown,Unknown,Northern Africa,2
5396,30723,North Africa,2017-01-19,2017,Jan,5,0,5,1,1,1,1,Starvation,"In the Sahara desert and ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"29.198631400000, 19.222584500000",Unknown,Unknown,Eastern Africa,2
5397,30721,US-Mexico Border,2017-01-18,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5398,43932,US-Mexico Border,2017-01-18,2017,Jan,1,0,1,1,1,1,1,Unknown,"Mariposa Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,"27.183578200000, -98.055924600000",Central America to US,Unknown,Northern America,4
5399,30720,US-Mexico Border,2017-01-18,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5400,30719,Horn of Africa,2017-01-18,2017,Jan,1,0,1,1,1,1,1,Unknown,"Between buulo xaawo and dhoobley, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"3.713282000000, 43.875956500000",Unknown,Unknown,Eastern Africa,2
5401,30718,US-Mexico Border,2017-01-18,2017,Jan,1,0,1,1,1,1,1,Drowning,"RÃ­o Bravo, Col del RÃ­o, 88580 Reynosa, Tamaulipas, Mexico",Horacero and El Salvador Times,"26.052567600000, -98.366243400000",Central America to US,"http://bit.ly/2jTe6lQ, http://bit.ly/2koItA9, http://bit.ly/2jiEofO",Central America,3
5402,30717,Horn of Africa,2017-01-18,2017,Jan,3,0,3,1,1,1,1,Accident,"Metema, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.952952800000, 36.148291800000",Unknown,Unknown,Eastern Africa,2
5403,30716,US-Mexico Border,2017-01-17,2017,Jan,1,0,1,2,1,1,1,Drowning,"Rio Grande, El progreso, Nuevo Laredo, Tamaulipas, Mexico",Lider web,"27.456537800000, -99.569848700000",Central America to US,"http://bit.ly/2jwRgmI, http://bit.ly/2jQwDls",Central America,3
5404,44438,South Asia,2017-01-17,2017,Jan,1,0,1,1,1,1,1,Accident,"Bandar Abbas, Hormozgan province, Iran",IOM Afghanistan,"27.183221600000, 56.266645500000",Unknown,Unknown,Southern Asia,4
5405,30715,Central America,2017-01-17,2017,Jan,1,0,1,1,1,1,1,Murdered,"Train tracks near Ãlvaro ObregÃ³n street, Apizaco, Tlaxcala, Mexico",La Policiaca and Cuarto de Guerra,"19.412657500000, -98.157212700000",Central America to US,"http://bit.ly/2l0KANX, http://bit.ly/2leljhJ",Central America,3
5406,44437,South Asia,2017-01-17,2017,Jan,1,0,1,1,1,1,1,Murdered,"Rafsanjan, Kerman province, Iran",IOM Afghanistan,"30.354889300000, 56.002705000000",Unknown,Unknown,Southern Asia,4
5407,30714,North Africa,2017-01-17,2017,Jan,1,0,1,1,1,1,1,Health Condition,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"24.064253700000, 32.793551300000",Unknown,Unknown,Northern Africa,2
5408,30713,North Africa,2017-01-17,2017,Jan,6,0,6,1,1,1,1,Starvation,In the Sahara desert around the border of Egypt-Sudan ,Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.056700900000, 30.135503500000",Unknown,Unknown,Northern Africa,2
5409,30712,North Africa,2017-01-17,2017,Jan,4,0,4,1,1,1,1,Accident,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",Unknown,Unknown,Northern Africa,2
5410,43930,US-Mexico Border,2017-01-17,2017,Jan,1,0,1,1,1,1,1,Unknown,"La Parrada Ranch, Brooks County, Texas",South Texas Human Rights Center,"27.027305700000, -98.392959276953",Central America to US,Unknown,Northern America,4
5411,30710,North Africa,2017-01-16,2017,Jan,3,0,3,1,1,1,1,Accident,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",Unknown,Unknown,Northern Africa,2
5412,30709,US-Mexico Border,2017-01-16,2017,Jan,1,0,1,1,1,1,1,Drowning,"Rio Bravo, near ejido ProlongaciÃ³n ArgÃ¼elles, Reynosa, Tamaulipas, Mexico",El maÃ±ana,"26.052567600000, -98.366243400000",Central America to US,http://bit.ly/2kpLt2R,Central America,1
5413,30711,North Africa,2017-01-16,2017,Jan,3,0,3,1,1,1,1,Starvation,"In the Sahara desert, around Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"24.072132200000, 32.719902700000",Unknown,Unknown,Northern Africa,2
5414,30708,US-Mexico Border,2017-01-15,2017,Jan,1,0,1,1,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,"31.875343400000, -112.547046600000",Central America to US,Unknown,Northern America,5
5415,44436,South Asia,2017-01-15,2017,Jan,1,0,1,1,1,1,1,Accident,"Sistan and Baluchestan province, Iran",IOM Afghanistan,"27.529990600000, 60.582067600000",Unknown,Unknown,Southern Asia,4
5416,44435,South Asia,2017-01-15,2017,Jan,1,0,1,1,1,1,1,Murdered,"Bam, Kerman province, Iran",IOM Afghanistan,"29.098495600000, 58.337468000000",Unknown,Unknown,Southern Asia,4
5417,30706,Mediterranean,2017-01-15,2017,Jan,1,0,1,1,1,1,1,Unknown,"Body found on Klima Beach, Samos, Greece","IOM Greece, Samiakovima","37.700274600000, 27.036172000000",Eastern Mediterranean,http://bit.ly/2jYqqQY,Uncategorized,4
5418,44434,South Asia,2017-01-15,2017,Jan,1,0,1,1,1,1,1,Accident,"Yazd province, Iran",IOM Afghanistan,"31.897423200000, 54.356856200000",Unknown,Unknown,Southern Asia,4
5419,30696,Mediterranean,2017-01-14,2017,Jan,1,3,3,1,1,2,1,Drowning,"Off Nador, Morocco",IOM Morocco,"35.176142300000, -2.924073300000",Western Mediterranean,Unknown,Uncategorized,4
5420,30703,North Africa,2017-01-14,2017,Jan,1,0,1,1,1,1,1,Accident,"In the desert, between Khartoum and Wadi Halfa, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.634096000000, 30.665200700000",Unknown,Unknown,Northern Africa,2
5421,30695,Mediterranean,2017-01-14,2017,Jan,1,0,1,2,1,1,1,Unknown,"Off Nador, Morocco",IOM Morocco,"35.176142300000, -2.924073300000",Western Mediterranean,https://www.youtube.com/watch?v=-ezfaGaFsQE,Uncategorized,4
5422,30702,North Africa,2017-01-14,2017,Jan,1,0,1,1,1,1,1,Accident,"Berber, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"18.026728400000, 33.975176600000",Unknown,Unknown,Northern Africa,2
5423,30694,Mediterranean,2017-01-14,2017,Jan,4,172,176,4,1,1,1,Drowning,30-40 nautical miles off off the coast of Libya,IOM Italy,"33.095322800000, 12.648929300000",Central Mediterranean,Unknown,Uncategorized,4
5424,30701,Horn of Africa,2017-01-14,2017,Jan,2,0,2,1,1,1,1,Murdered,"Cambo ashera, Eritrea",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.081580300000, 38.229042600000",Unknown,Unknown,Northern Africa,2
5425,30700,North Africa,2017-01-14,2017,Jan,1,0,1,1,1,1,1,Health Condition,"Al Hajer, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.149953900000, 34.728076400000",Unknown,Unknown,Northern Africa,2
5426,30698,Mediterranean,2017-01-14,2017,Jan,1,0,1,7,1,1,1,Hypothermia,"Body recovered 35 nautical miles east of Ceuta, Spain",EFE,"35.927882159511, -5.294504086328",Western Mediterranean,http://bit.ly/2jPBVdF,Uncategorized,1
5427,30697,Mediterranean,2017-01-14,2017,Jan,8,7,15,4,1,6,1,Drowning,"Bodies found on the coast of Algeciras and Tarifa, Spain","UNHCR (Spanish Civil Guard), El Confidencial","35.999138366460, -5.610585736524",Western Mediterranean,"http://bit.ly/2jg0UHY, http://bit.ly/2iCKs5G, http://bit.ly/2ix1DY0",Uncategorized,4
5428,30704,Europe,2017-01-14,2017,Jan,1,0,1,1,1,1,1,Hypothermia,"Near Evros River, Feres, Greece",CNN,"40.886378700000, 26.177408600000",Unknown,http://bit.ly/2iH705B,Southern Europe,1
5429,30689,US-Mexico Border,2017-01-13,2017,Jan,1,0,1,1,1,1,1,Drowning,"Rio Bravo, Ejido El GuerreÃ±o, Reynosa, Tamaulipas, Mexico",La Tarde,"26.052567600000, -98.366243400000",Central America to US,http://sumo.ly/ut2s,Central America,1
5430,30688,US-Mexico Border,2017-01-13,2017,Jan,1,0,1,1,1,1,1,Drowning,"Rio Bravo, Puente Internacional Los Tomates, Matamoros, Tamaulipas, Mexico",Hoy Tamaulipas,"25.843378700000, -97.584984500000",Central America to US,http://bit.ly/2jFdekL,Central America,1
5431,30687,US-Mexico Border,2017-01-13,2017,Jan,1,0,1,2,1,1,1,Murdered,"Ranch outside of Laredo, Texas, USA ",Fundamentos,"27.545808800000, -99.675293400000",Central America to US,http://bit.ly/2oZhnoG,Northern America,1
5432,30707,Mediterranean,2017-01-13,2017,Jan,2,0,2,193,1,1,1,Suffocation,Unspecified location in the Central Mediterranean ,SOS Mediterranee,"33.640686300000, 16.661223200000",Central Mediterranean,"http://bit.ly/2jQJr8d, http://bit.ly/2iqPUdA",Uncategorized,4
5433,30693,North Africa,2017-01-13,2017,Jan,2,0,2,1,1,1,1,Accident,"Qena, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"26.327791800000, 32.720635300000",Unknown,Unknown,Northern Africa,2
5434,30686,Mediterranean,2017-01-13,2017,Jan,3,0,3,1,1,1,1,Hypothermia,Unspecified location in the Central Mediterranean ,"IOM Italy, UNHCR","33.640686300000, 16.661223200000",Central Mediterranean,http://bit.ly/2iqPUdA,Uncategorized,4
5435,30692,North Africa,2017-01-13,2017,Jan,4,0,4,1,1,1,1,Starvation,"In the Sahara desert, around Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.715939500000, 33.835907700000",Unknown,Unknown,Northern Africa,2
5436,30691,North Africa,2017-01-13,2017,Jan,3,0,3,1,1,1,1,Starvation,"Near Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.699594000000, 33.882407100000",Unknown,Unknown,Northern Africa,2
5437,30690,North Africa,2017-01-13,2017,Jan,1,0,1,1,1,1,1,Starvation,"Between Al Qadarif and Wad Madani, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.763051600000, 33.345710500000",Unknown,Unknown,Northern Africa,2
